TEIL;LAGER;COUNT;MIN;MAX;AVG
H;28491;88;372000;1181000;482272.73
H;28496;90;354000;2639000;620344.44
I;28497;79;627000;3474000;804696.20
I;28501;81;616000;2921000;813333.33
I;28502;81;303000;1534000;424135.80
I;28504;81;307000;1154000;435592.59
I;28506;78;303000;2622000;506769.23
I;28511;80;303000;2046000;425925.00
C;28520;103;607000;3131000;839825.24
C;28522;100;601000;2684000;812210.00
C;28525;101;613000;2756000;784207.92
C;28532;95;599000;2809000;772978.95
C;28534;99;614000;2213000;766545.45
G;28542;85;304000;1912000;429282.35
G;28545;90;305000;1735000;411188.89
G;28547;88;308000;2237000;461909.09
G;28550;90;303000;1090000;357288.89
G;28554;88;306000;1572000;458625.00
C;28575;98;613000;3245000;796306.12
C;28578;98;609000;2590000;754744.90
C;28580;103;615000;3426000;833766.99
C;28583;101;603000;2261000;710613.86
C;28587;101;607000;2760000;774564.36
F;28591;91;305000;1870000;420120.88
K;28597;95;358000;3447000;647800.00
K;28600;93;385000;1356000;561258.06
K;28605;94;387000;2328000;613361.70
K;28612;90;360000;3004000;653722.22
K;28614;99;356000;2168000;589393.94
K;28619;92;342000;3443000;527880.43
K;28621;99;404000;2689000;796393.94
D;28631;100;352000;1827000;537570.00
D;28635;102;381000;2939000;643656.86
D;28639;100;333000;2725000;551810.00
F;28645;88;304000;2488000;458738.64
F;28648;90;307000;1595000;424111.11
F;28651;90;305000;1262000;408311.11
E;28656;98;359000;2961000;581357.14
E;28700;100;357000;2622000;544650.00
B;28746;102;328000;2345000;657333.33
B;28753;99;261000;1587000;529242.42
B;28755;101;353000;2379000;723613.86
B;28759;99;339000;1373000;540646.46
B;28762;96;340000;2364000;581187.50
D;28765;101;332000;2442000;509742.57
I;28771;80;303000;2816000;419550.00
I;28773;80;302000;1707000;377650.00
I;28776;80;303000;2822000;430637.50
E;28778;98;352000;2970000;625704.08
E;28782;103;348000;2865000;575524.27
E;28783;100;360000;1850000;486970.00
E;28784;101;346000;3027000;688792.08
E;28786;101;356000;2699000;674267.33
E;28789;103;348000;2426000;523825.24
E;28791;98;347000;2025000;622091.84
E;28797;100;347000;2464000;499480.00
C;28811;100;607000;2564000;727710.00
C;28816;98;613000;2341000;748938.78
C;28817;99;609000;1828000;752373.74
C;28820;99;609000;3100000;773838.38
H;28827;90;362000;1815000;482500.00
H;28834;88;365000;2456000;546090.91
H;28837;92;348000;2687000;552608.70
C;28842;101;608000;3135000;793742.57
C;28848;100;612000;2714000;753270.00
C;28850;101;609000;2123000;712297.03
C;28855;98;608000;3223000;795948.98
C;28858;94;611000;1835000;697882.98
G;28860;90;303000;2540000;455900.00
G;28863;90;307000;3067000;470188.89
G;28868;90;302000;2351000;503088.89
G;28872;90;303000;3058000;429122.22
G;28875;89;300000;2017000;427202.25
G;28877;90;302000;481000;337722.22
F;28883;91;306000;3317000;517901.10
