TEIL;FA;COUNT;MIN;MAX;AVG;MIN_O;MAX_O;AVG_O
B;6324;103;289000;3257000;514718.45;1;2;1.03
B;8935;101;290000;3196000;488168.32;1;2;1.01
B;7051;96;288000;3253000;609625.00;1;1;1.00
B;5795;100;339000;2709000;545200.00;1;1;1.00
B;7050;100;288000;2862000;482480.00;1;1;1.00
B;7589;97;298000;1165000;457711.34;1;2;1.01
B;8033;100;289000;2311000;449860.00;1;2;1.02
B;5713;103;328000;2582000;517951.46;1;2;1.03
B;6926;99;209000;2050000;459727.27;1;1;1.00
B;7942;100;288000;703000;350330.00;1;1;1.00
B;7108;100;293000;2391000;544940.00;1;1;1.00
B;6483;102;303000;1730000;500186.27;1;2;1.02
B;6326;98;285000;2297000;549132.65;1;1;1.00
B;8032;100;279000;3537000;574290.00;1;2;1.01
B;8367;102;293000;2641000;466970.59;1;2;1.02
B;9704;103;270000;3064000;482029.13;1;2;1.02
B;8936;99;283000;2127000;530717.17;1;2;1.01
B;6183;101;340000;3198000;643435.64;1;2;1.02
B;6249;101;310000;2787000;664346.53;1;2;1.05
B;9042;102;290000;2501000;489656.86;1;2;1.02
B;6248;102;326000;1632000;547892.16;1;2;1.04
B;5712;87;346000;2763000;636528.74;1;2;1.01
B;6991;95;241000;1460000;453663.16;1;1;1.00
B;9522;100;303000;1474000;447680.00;1;2;1.01
B;9322;104;305000;3309000;548163.46;1;5;1.06
B;7346;97;292000;3576000;751474.23;1;1;1.00
B;6566;98;285000;3049000;547408.16;1;1;1.00
B;7184;100;288000;3349000;477720.00;1;1;1.00
B;8362;96;293000;1430000;387572.92;1;1;1.00
B;8572;100;294000;3013000;460410.00;1;1;1.00
B;8744;100;287000;2879000;400910.00;1;1;1.00
B;8940;100;284000;1733000;364200.00;1;1;1.00
B;8838;100;299000;3163000;428250.00;1;1;1.00
B;7182;98;293000;2826000;604500.00;1;1;1.00
B;6925;105;292000;2869000;585495.24;1;2;1.06
B;9697;100;281000;1968000;392320.00;1;1;1.00
B;6027;102;333000;3086000;535254.90;1;2;1.02
B;8835;102;292000;2235000;474441.18;1;2;1.02
B;5794;102;328000;1462000;520607.84;1;2;1.03
B;7347;103;292000;3212000;499242.72;1;2;1.05
B;6251;107;314000;2359000;569607.48;1;3;1.06
B;7053;96;291000;3100000;614385.42;1;2;1.01
B;7264;101;289000;2891000;504178.22;1;2;1.01
B;6697;100;291000;3300000;599560.00;1;2;1.02
B;5950;98;338000;1090000;465938.78;1;1;1.00
B;5798;102;339000;2543000;552431.37;1;2;1.02
