Lagerout;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
005638;100;5,38;8389,33;184,5724
005639;100;5,39;94,87;18,1756
005640;100;6,05;115,42;24,1056
005641;100;6,03;71,78;13,1349
005642;100;5,47;56,69;12,5724
005643;103;5,49;91,06;16,0515534
005644;100;5,36;92,73;13,8064
005645;100;5,51;8370,1;179,1441
005646;86;6,11;8310,74;210,1627907
005647;87;6,06;74,06;16,71011494
005648;91;5,31;284,99;32,75153846
005649;90;5,17;8313,43;199,8592222
005650;90;5,2;79,47;11,88033333
005651;90;5,22;90,95;16,89222222
005652;90;5,2;91,79;15,714
005653;90;5,21;698302,25;15530,28078
005654;90;5,04;94,95;14,04777778
005655;90;5,04;52,76;11,686
005656;90;5,04;29195,99;666,4591111
005657;90;5,03;79,7;11,97477778
005658;90;5,01;52,07;11,18544444
005659;90;5,02;78,85;13,676
005660;90;5,01;97,89;12,726
005661;89;5,06;81,71;11,6147191
005662;90;5,05;8312,04;196,3217778
005663;90;5,06;75,55;14,40122222
005664;90;5;8398,09;199,8858889
005665;90;5,04;80,02;12,336
005666;90;5;45,8;12,47788889
005667;90;4,52;78,09;11,69333333
005668;90;4,54;86,05;11,31
005669;90;4,94;698311,5;15531,09178
005670;78;5,01;78,11;16,74025641
005671;80;5;82,98;13,371
005672;80;4,95;8591,21;242,9475
005673;80;5;72,11;11,626375
005674;79;4,98;87,99;12,69936709
005675;80;10,82;8315,28;132,994625
005676;80;10,31;82,95;26,585875
005677;80;10,5;92,81;22,440625
005678;100;6,54;8863,21;205,3032
005679;100;6,23;28310,59;594,2577
005680;101;6,45;9648,64;113,8552475
005681;100;6,04;83,85;15,524
005682;100;6,14;8315,29;264,5769
005683;101;6,41;86,31;20,37950495
005684;100;6,14;122,12;16,8919
005685;100;6,46;8382,78;182,8832
005686;100;10,25;79,94;22,2154
005687;100;10,24;28386,49;589,1522
005688;100;9,11;175,57;33,1977
005689;100;10,21;99,65;20,7127
005690;100;10,23;698303,98;13988,9525
005691;100;10,23;74,85;24,0973
005692;100;10,25;80,93;19,7393
005694;100;5,77;145,56;23,7179
005695;100;10,16;8314,22;205,8483
005696;100;10,17;76,7;19,9597
005697;100;6,15;84,34;17,8411
005698;100;6,15;75,02;15,0525
005699;100;6,14;8302,38;178,8392
005700;100;6,15;52,48;13,0686
005701;100;5,52;28373,77;585,9063
005702;100;5,5;88,83;16,4161
005703;100;5,27;95,91;15,1037
005704;100;5,26;8472,58;187,4342
005705;101;5,3;698306,72;13845,92416
005706;100;5,33;91,26;13,978
005707;100;5,74;82,66;17,2684
005708;101;5,35;8313,39;179,7883168
005709;100;5,26;85,37;15,128
005710;100;5,26;153,83;17,7164
005711;100;5,27;8309,15;98,4309
005712;100;5,27;87,67;14,0783
005713;100;5,27;81,86;16,7022
005714;100;5,34;252,28;20,6991
005715;101;5,32;92,27;17,64326733
005717;98;5,37;82,67;15,92734694
005718;100;5,36;215,05;18,6106
005719;99;5,37;28323,29;588,6790909
005720;100;5,18;57,27;13,4337
005721;100;5,33;266,43;17,5837
005722;107;5,33;8307,65;179,3114019
005723;100;5,19;85,01;13,8664
005724;100;5,34;85,22;13,8074
005725;90;5,26;92,38;14,68488889
005726;90;5,18;91,54;15,26066667
005727;88;5,18;8304,49;200,3723864
005728;90;5,27;62,05;13,80044444
005729;90;5,18;85,02;15,76911111
005730;90;5,18;103,16;15,46266667
005731;88;5,19;8306,66;200,4380682
005732;90;5,21;73,02;12,32166667
005733;91;5,19;86,96;15,58934066
005734;90;5,05;8308,99;198,411
005735;90;5,05;49,88;9,75477778
005736;91;5,06;81;15,02703297
005737;90;5,03;196,04;15,96133333
005738;90;5,04;8384,8;108,7271111
005739;90;5,02;71,55;11,32
005740;90;5,03;89,75;13,86133333
005741;90;5,02;46,05;12,76144444
005742;90;4,51;28312,85;638,9391111
005743;90;4,54;75,89;11,89833333
005744;90;4,54;83,72;11,83977778
005745;90;4,54;48,82;11,51633333
005746;90;4,9;53,39;11,52777778
005747;92;4,55;8310,13;197,0268478
005748;91;4,53;81,78;11,20120879
005749;90;4,54;84,74;14,164
005750;90;4,54;56,71;11,22822222
005751;80;5;8308,79;220,858375
005752;80;5,02;48;9,9075
005753;80;4,99;75,96;11,650625
005754;80;4,99;49,66;11,910625
005755;80;5,03;45,35;9,492
005756;80;4,99;58,21;11,959375
005757;80;6,33;68,23;17,41875
005758;80;6,76;81,6;15,0405
005759;80;6,89;8322,9;222,202625
005760;100;6,17;355,95;40,7126
005761;100;6,19;698311,64;13998,4957
005762;100;6,17;8316,63;188,3298
005763;100;6,13;28908,23;631,8984
005764;100;6,13;9185,99;208,2752
005765;101;6,15;9283,63;207,119802
005766;100;6,45;9288,09;202,7912
005767;100;6,1;74,94;12,0841
005768;100;5,11;95,51;17,3489
005769;100;6,12;50,88;14,1463
005770;100;6,22;89,3;15,4968
005771;99;6,15;214,6;22,86252525
005772;100;6,13;77,96;15,9845
005773;100;6,14;80,73;12,0919
005774;100;6,13;8334,19;181,0432
005775;100;6,27;292,6;18,6029
005776;100;6,25;76,25;16,3299
005777;100;5,09;28342,84;582,1135
005778;101;6,1;431,34;18,02613861
005779;100;5,95;96,01;16,3824
005780;101;6,14;59,33;14,08188119
005781;100;6,14;77,69;14,1963
005782;100;6,13;8400,69;183,7409
005783;102;5,3;8395,45;266,672451
005784;100;5,28;90,65;15,1055
005785;103;5,29;95,98;17,26126214
005786;100;5,49;8311,06;181,4285
005787;100;5,28;96,99;17,0416
005788;100;5,29;50,75;11,3555
005789;100;5,53;8710,49;103,5243
005790;100;5,27;28392,11;581,5136
005791;100;5,25;89,81;14,8804
005792;100;5,46;86,78;13,3363
005793;100;5,31;97,51;13,5981
005794;102;5,3;86,75;13,97911765
005795;100;5,33;8369,9;182,7157
005796;100;5,36;93,1;16,3089
005797;100;5,36;8444,93;185,8956
005798;100;5,35;85,1;13,9281
005799;100;5,48;95,91;16,0892
