Lagerin;count(b.baseid);MinFertigungszeit;MaxFertigungszeit;AVGFertigungszeit
000028282;106;9,98;8303,96;187,1266038
000028292;100;10,05;69,98;17,9699
000028295;100;10,05;71,09;22,4088
000028337;103;1,62;8400,24;178,3560194
000028338;83;5,03;85,17;14,39409639
000028341;80;5,03;90,81;10,514625
000028343;100;5,57;82,06;14,6675
000028345;80;5,08;8294,38;217,014625
000028349;80;5,06;71,79;11,51625
000028351;80;5,09;65,85;12,42475
000028360;101;5,34;126,98;16,77158416
000028393;104;6,02;123,03;17,38673077
000028397;100;5,97;8303,97;179,6118
000028415;90;5,04;92,5;10,59611111
000028419;89;5,04;86,06;12,66393258
000028423;91;5,03;49,73;12,12021978
000028426;90;5,04;85,31;14,60333333
000028432;90;5,05;84,95;13,11977778
000028435;90;5,03;55,94;10,83122222
000028439;91;5,06;75,85;11,31120879
000028441;92;5,05;28313,72;628,2490217
000028446;93;5,03;190,02;17,35516129
000028449;90;5,04;47,78;9,44588889
000028453;91;5,03;29974,97;343,9074725
000028461;100;6,57;94,62;17,3173
000028469;102;6,24;9194,07;194,6295098
000028473;106;6,23;9208,53;195,0136793
000028478;90;5,99;50,62;13,44066667
000028479;90;5,89;73,8;15,00122222
000028482;92;5,95;155,92;21,45728261
000028487;90;6,16;87,28;16,77933333
000028488;92;5,93;139,39;16,38
000028491;90;6,12;28306,76;642,2153333
000028496;92;5,54;197,88;22,49347826
000028497;81;10,28;101,62;20,17209877
000028501;81;10,16;123,31;22,27765432
000028502;81;5,03;65,74;12,13012346
000028504;81;5,07;55,06;11,83209877
000028506;80;5,03;8306,63;220,90175
000028511;80;5,07;74,06;11,60425
000028520;105;5,92;168,81;32,54952381
000028522;100;10,01;84,84;23,1501
000028525;101;10,13;195,9;24,80485149
000028532;102;10,03;28494,07;584,740098
000028534;102;10,14;8365,71;186,3266667
000028542;90;5,04;28358,9;649,9491111
000028545;90;5,05;59,76;12,19188889
000028547;90;5,08;8307,87;197,0221111
000028550;90;5,06;56,97;9,97288889
000028554;90;5,06;8308,46;197,4414444
000028575;101;10,13;28337,04;585,5841584
000028578;100;10,09;8386,04;184,8703
000028580;103;10,15;97,46;27,18116505
000028583;101;10,03;202,46;20,43386139
000028587;104;10,11;10932,02;235,3606731
000028591;94;5,05;58,87;11,14425532
000028597;100;5,98;9184,34;203,7461
000028600;100;6,25;29139,28;796,6771
000028605;99;6,27;102,08;20,71919192
000028612;97;6;9254,77;216,332165
000028614;101;5,96;9146,92;196,6833663
000028619;99;6,15;9303,78;209,8571717
000028621;99;6,44;183,4;25,19777778
000028631;101;5,57;68,43;14,49188119
000028635;102;6,24;199,8;21,44333333
000028639;103;5,33;163,24;17,28475728
000028645;89;5,04;8313,74;105,9216854
000028648;90;5,07;59,96;11,51666667
000028651;90;5,05;50,25;10,35866667
000028656;100;5,99;8301,53;181,9047
000028700;100;5,97;83,77;15,8625
000028746;107;5,28;307,01;30,42336449
000028753;103;4,61;192,1;19,35543689
000028755;105;5,93;980192,94;10436,70867
000028759;101;5,42;112,03;17,50475248
000028762;100;5,8;8364,68;184,8257
000028765;104;5,35;8328,77;254,3986539
000028771;80;5,03;86,96;11,4805
000028773;80;5,02;48,8;9,7915
000028776;80;5,03;87,02;13,161375
000028778;100;5,92;89,7;16,8861
000028782;103;5,88;109,39;17,0476699
000028783;100;6;49,71;14,1177
000028784;101;5,48;90,67;19,93811881
000028786;101;5,96;94,78;17,00990099
000028789;105;5,88;121,79;17,13047619
000028791;102;5,47;28315,03;571,0963726
000028797;100;5,47;81,04;13,5148
000028811;100;10,07;82,83;18,5131
000028816;100;10,13;132,21;24,4224
000028817;99;6,2;70,68;18,90151515
000028820;102;10,1;8477,57;189,9654902
000028827;91;6,02;47,81;13,35032967
000028834;91;6,05;8308,94;196,8065934
000028837;92;5,88;206,83;18,54141304
000028842;101;10,09;92,15;21,28217822
000028848;100;10,12;73,08;22,1567
000028850;101;10,09;192,88;23,15574257
000028855;103;10,08;163,91;26,24864078
000028858;100;10,11;8329,48;190,6501
000028860;90;5,03;82,6;12,05233333
000028863;92;5,07;91,07;11,90782609
000028868;90;5,02;79,11;14,14644444
000028872;90;5,03;50,98;12,48233333
000028875;91;5;8305,94;194,7456044
000028877;90;5,02;45,48;8,73722222
000028883;91;5,06;188,98;16,42186813
000028885;90;5,06;85,61;13,48366667
000028890;90;5,09;48,77;9,91811111
000028898;101;5,09;8314,65;110,1275248
000028900;100;10,19;83,54;21,5367
000028905;100;10,13;8304,09;186,8623
000028918;90;5,48;8304,37;198,58
000028921;100;10,15;73,66;21,7996
000028923;90;5,49;85,66;16,85033333
000028928;96;5,88;289,94;23,340625
000028929;93;5,49;255,01;18,41860215
000028932;90;5,87;83,65;14,89944444
000028938;91;5,9;121,33;14,40703297
000028942;97;5,91;8316,9;196,3265979
000028945;105;6,15;9141,95;196,2981905
000028946;110;6,37;9380,04;563,1568182
000028952;104;6,26;154,82;22,02355769
000028956;117;6,89;28324,89;1019,394274
000028961;109;6,24;8707,06;257,810367
000028964;104;6,07;259,96;22,08451923
000028966;102;6,42;9140,35;198,6597059
000028996;83;10,33;131,83;25,12180723
000029000;80;4,86;74,88;11,42925
000029002;81;10,47;104,94;25,87580247
000029005;80;5,03;62,24;12,875125
000029018;102;5,81;306,86;17,02960784
000029022;104;5,73;20876,88;220,7768269
000029029;103;5,27;8399,83;261,015534
000029036;100;5,47;68,99;13,7388
000029040;103;5,86;277,2;23,16019417
000029044;103;5,92;29147,79;582,6595146
000029051;99;5,84;83,87;17,52767677
000029054;102;5,35;8362,62;181,0929412
000029059;105;5,35;188,9;22,93380952
000029063;101;5,33;80,96;14,0219802
000029067;102;5,32;96,52;12,92803922
000029068;106;5,36;158,07;25,7209434
000029194;106;6,11;29197,72;574,280283
000029202;102;6,17;86,81;15,51107843
000029206;101;6,1;80,82;15,40287129
000029207;104;5,97;280,74;22,17759615
000029211;102;6,1;8303,94;179,9548039
000029227;101;6,1;93,02;13,88574257
000029229;91;5,05;81,07;11,76758242
000029231;89;5,02;49,37;9,38202247
000029233;90;5,05;81,03;12,63155556
000029251;104;5,36;214,01;22,05384615
000029256;100;5,35;49,78;14,1037
000029258;103;5,27;8400,88;182,7417476
000029263;101;5,34;8369,77;178,8410891
000029266;101;6;100,8;17,07108911
000029311;80;5;8311,23;221,93525
000029320;81;5,01;55,91;11,12728395
000029321;82;5,01;107,72;30,3202439
000029326;79;5,04;8307,49;226,7386076
000029327;82;5,04;66,52;11,76060976
000029331;80;5,01;77,31;13,382125
000029339;100;6,04;86,07;15,122
000029345;101;6,04;8304,88;181,3749505
000029350;100;6,06;8339,37;182,5369
000029355;100;6,03;8304,69;181,7866
000029358;102;10,15;84,64;21,65539216
000029359;101;10,17;171,7;20,62633663
000029363;100;10,15;83,65;21,6784
000029367;90;5,06;9138,2;216,1001111
000029370;91;5,05;62,19;15,49428571
000029372;90;5,02;47,58;10,92944444
000029375;90;5,02;8312,17;195,5348889
000029379;100;10,18;56,89;22,0867
000029384;100;10,15;88,71;21,1534
000029388;101;10,17;80,7;19,7490099
000029393;101;10,22;60,13;19,13861386
000029398;90;5;71,08;9,93922222
000029404;90;4,99;82,92;13,05355556
000029409;90;4,99;92,37;12,53455556
000029413;90;5,03;29143,93;663,9577778
