TEIL;LAGER;COUNT;MIN;MAX;AVG
I;000030440;80;300;25719;1125.7375
I;000040952;80;450;2045;626.7375
I;000043673;84;472;3226;727.8333
I;000028506;80;303;25583;1133.6750
I;000037194;80;287;2638;454.0125
I;000028497;80;627;3682;886.5750
I;000043646;79;278;1333;404.8861
I;000030453;80;299;2159;448.1375
I;000043667;80;430;2460;616.1250
I;000032516;80;444;25470;1734.2250
I;000034827;80;483;6117;775.1750
I;000032295;80;422;6848;721.1875
I;000041155;80;455;2481;608.8750
I;000041762;80;454;26999;1250.4625
I;000039401;81;572;1747;689.3210
I;000030922;80;397;1802;533.2500
I;000035628;80;301;26186;874.1750
I;000029527;80;627;27624;1871.5375
I;000036038;80;300;2643;518.1500
I;000036040;79;299;377701;10259.9494
I;000033033;80;267;25325;1078.7250
I;000033041;80;436;2384;582.7375
I;000042371;81;281;2357;403.1728
I;000038268;80;326;1168;646.4000
I;000029331;80;301;2251;473.2125
I;000037956;80;293;2756;455.0125
I;000042697;80;281;1060;373.6500
I;000029537;80;304;1948;421.4875
I;000031047;80;433;28099;1314.0875
I;000048337;80;440;2007;563.3875
I;000053148;80;283;2622;430.1625
I;000048525;80;437;1238;554.9250
I;000049848;80;282;1517;416.5375
I;000046356;80;482;2016;664.0125
I;000046530;81;304;1440;556.9877
I;000052865;80;284;2225;452.3875
I;000053304;79;283;26372;1070.8354
I;000051170;80;284;4458;527.7000
I;000053309;80;288;26639;1136.4500
I;000044629;81;290;2328;453.0247
I;000051342;80;285;2194;425.6500
I;000051673;80;285;1397;436.6125
I;000050552;80;291;2294;420.6375
I;000049142;80;433;2087;554.4875
I;000045321;79;289;25875;1203.0506
I;000047307;79;283;2063;498.6329
I;000053313;80;281;1234;350.3000
I;000053770;80;283;912;339.8250
I;000053573;80;284;2458;432.7750
I;000044079;79;429;3700;609.0506
I;000054092;81;288;1730;405.4444
I;000049146;79;284;26528;804.4430
I;000049597;80;284;2613;396.4250
I;000045923;77;474;3936;807.0130
I;000049584;80;286;2057;441.0250
I;000045741;76;469;27563;1410.2368
I;000047765;84;412;2069;552.7143
I;000047770;76;284;2125;415.1711
I;000048338;80;276;3133;428.5625
I;000052648;80;283;936;371.5875
I;000044421;80;284;2802;472.4250
I;000044640;80;439;26919;1267.5500
I;000027932;80;304;25492;1025.5375
I;000028219;80;307;2547;446.0000
I;000038819;80;551;2957;743.8000
I;000029976;79;295;36943;2379.6962
I;000030150;80;300;1931;427.0375
I;000033380;80;292;3047;533.3750
I;000028776;80;303;2822;430.6375
I;000037182;80;290;2223;529.0875
I;000034327;81;279;6542;679.1358
I;000039145;80;288;2192;429.4000
I;000034315;79;480;3878;721.0886
I;000034321;80;481;3106;704.8250
I;000043651;80;263;4518;441.1875
I;000030904;79;299;1422;421.1392
I;000041443;80;467;26239;1242.2000
I;000032519;80;403;2578;612.4875
I;000029311;80;300;25883;1136.5250
I;000039392;80;570;1815;661.7000
I;000030909;80;301;2715;513.1750
I;000036019;80;472;25001;1375.2000
I;000034974;80;290;2597;432.4000
I;000032526;80;295;2875;461.4375
I;000042085;80;462;2709;665.2000
I;000029002;80;646;3894;873.3125
I;000034972;80;271;1099;429.1500
I;000033036;80;412;24873;1206.9500
I;000042071;80;476;2027;648.7000
I;000038271;80;292;2309;443.8500
I;000040177;80;284;3003;616.2500
I;000029957;81;637;5959;1066.3704
I;000033031;80;302;3497;528.5375
I;000036446;80;289;2850;429.3250
I;000033378;79;304;36013;1428.4304
I;000048516;80;283;2726;462.3750
I;000048327;80;285;1957;465.0750
I;000046367;80;286;1988;433.6000
I;000046527;80;499;1046;563.3250
I;000045060;80;289;685;347.3250
I;000045312;80;454;1135;553.9375
I;000051912;80;286;60398;1961.2625
I;000051916;80;285;1466;425.6750
I;000045471;84;288;720;352.4286
I;000045732;79;290;7104;606.8734
I;000043655;80;428;2213;547.5375
I;000054094;80;283;987;378.0000
I;000044068;80;286;1571;489.5375
I;000054095;80;274;9662;572.0125
I;000049590;80;457;3027;630.0125
I;000052281;80;284;25985;1064.8625
I;000044065;80;283;1850;376.1375
I;000045742;80;469;6585;690.5375
I;000049827;80;394;27675;2050.5250
I;000052860;80;285;3131;577.2500
I;000046161;80;298;2591;523.4625
I;000044642;80;284;25855;1144.8375
I;000036466;80;293;198704;5425.5125
I;000042526;84;482;2823;789.6667
I;000038823;80;307;2223;746.1250
I;000028213;80;599;12096;1025.1750
I;000038813;80;552;2701;741.4625
I;000031872;80;420;4842;640.6000
I;000036464;80;294;25764;1055.0375
I;000043024;79;283;1675;411.5190
I;000042520;76;288;1475;384.8289
I;000043028;80;494;3013;723.3875
I;000036920;80;526;5258;881.6375
I;000039142;81;286;8583;681.8025
I;000043658;80;487;4651;714.1375
I;000030448;80;299;2156;424.4750
I;000032285;80;436;7594;1025.9000
I;000034313;80;290;2504;437.0250
I;000032272;80;302;2267;459.4375
I;000041435;80;458;3255;601.6375
I;000041755;80;469;2639;759.4500
I;000041855;80;456;2890;689.5875
I;000037368;80;287;2406;459.1000
I;000039883;80;285;4675;535.8000
I;000041854;80;290;3657;520.7875
I;000041844;80;286;3071;704.8625
I;000040175;80;292;2708;496.1250
I;000030912;80;309;1538;435.1125
I;000034967;80;494;2809;635.8875
I;000042079;80;476;4125;655.4250
I;000035633;80;275;2228;440.7625
I;000037967;80;281;3808;537.1125
I;000029327;80;304;1598;413.7875
I;000040181;80;419;2780;605.9750
I;000042364;80;278;57893;2097.2625
I;000031049;80;423;2986;665.9875
I;000040490;80;287;3815;628.6375
I;000048515;80;284;2012;420.2500
I;000050200;80;383;1926;516.6375
I;000053159;80;285;2333;479.2625
I;000048522;81;288;1314;408.4198
I;000053150;80;293;3654;523.1500
I;000044643;79;286;1749;577.5316
I;000048527;80;286;2579;510.3875
I;000050550;80;287;1909;434.0875
I;000050548;80;284;1186;413.7000
I;000048505;80;442;4987;717.0750
I;000050755;80;288;2704;405.3375
I;000046997;80;460;2388;646.1875
I;000049151;80;448;2897;669.5500
I;000045327;80;454;2099;589.2500
I;000046990;80;483;2909;649.1250
I;000045469;82;441;4410;644.7073
I;000051908;81;283;60398;2296.7284
I;000052272;80;285;2540;448.9500
I;000053767;79;274;2618;499.6329
I;000052263;79;286;1467;414.5190
I;000049136;80;284;2314;390.8750
I;000047982;80;448;2641;689.0250
I;000052276;80;285;5748;595.0000
I;000052640;80;295;1552;470.0500
K;000038607;100;335;3402;592.9000
K;000036108;100;334;56900;1618.5400
K;000033902;101;356;197332;6659.3366
K;000042905;107;324;2463;640.5140
K;000038743;100;333;239998;5337.5100
K;000030288;100;379;25884;1872.6900
K;000043748;97;330;3049;489.1134
K;000041321;100;328;887;429.0400
K;000033898;100;295;12164;952.0800
K;000032043;100;331;220710;4967.2900
K;000032592;100;350;59714;1206.4900
K;000034456;100;353;2739;491.1300
K;000043760;103;327;49262;1594.8350
K;000029194;100;370;230252;5456.0600
K;000034454;100;336;59439;1883.1800
K;000041791;100;338;3606;676.1900
K;000029211;100;397;25434;1134.4400
K;000032605;99;333;320228;7104.3636
K;000037352;24;335;1831;613.5833
K;000031510;100;376;61003;2193.1400
K;000041993;100;335;2608;536.3500
K;000038192;100;335;13761;910.7600
K;000035140;100;334;41103;1783.3500
K;000042286;100;334;56506;1902.0600
K;000032901;100;336;2586;606.7100
K;000028605;97;387;3728;734.7216
K;000040556;100;329;56850;1770.6400
K;000028612;95;360;58477;2152.8947
K;000040554;100;331;59027;1727.1500
K;000048600;100;321;123559;2993.9400
K;000044998;102;323;7332;672.5000
K;000046827;101;324;7842;756.1089
K;000053026;100;322;25919;958.5500
K;000051288;100;322;57325;1736.1400
K;000050508;100;324;2159;509.2600
K;000053518;101;318;6457478;64347.5446
K;000049370;101;326;34071;1177.3861
K;000047557;103;340;1999;514.0777
K;000049359;98;328;6991;826.8776
K;000051783;100;320;4961;505.8300
K;000051791;100;325;32672;1730.5800
K;000049356;97;321;2633;499.5361
K;000052452;100;322;2732;580.1900
K;000046099;94;321;1249;437.9787
K;000046280;99;322;1721;470.6162
K;000052602;100;321;25632;1123.9800
K;000052610;100;325;2558;514.5400
K;000048378;100;321;229122;5038.2400
K;000050686;100;323;1893;483.7300
K;000044149;100;343;2890;491.8200
K;000042661;102;341;59296;1947.0882
K;000029762;100;383;198619;4969.5600
K;000031680;100;336;263761;8449.8000
K;000040761;100;307;244045;5637.4800
K;000030278;100;405;72504;1442.4000
K;000030267;100;375;4932;675.2500
K;000031676;100;351;44021;1743.7400
K;000030300;100;376;27758;1142.3400
K;000037055;100;334;5496;810.0800
K;000028952;100;386;5396;781.1200
K;000041778;99;338;56370;1767.5859
K;000032595;99;359;5071;818.1717
K;000029227;100;370;3182;524.8500
K;000031107;99;378;60838;3326.2020
K;000039189;100;327;3284;501.3600
K;000035720;100;332;7180;716.8300
K;000034883;100;333;5961;886.8000
K;000036129;100;341;7828;705.7700
K;000029654;104;381;216194;5472.4327
K;000039972;101;324;57179;1804.9010
K;000032908;100;337;231609;5391.5100
K;000036403;100;334;111807;2753.6200
K;000042589;100;340;57496;1747.7200
K;000033332;99;347;56444;1856.4040
K;000038613;98;333;56872;1809.2755
K;000028619;98;342;61418;2013.7041
K;000050112;100;322;208715;4796.4600
K;000050110;100;322;4989;506.2800
K;000048596;100;323;1945;526.0600
K;000048605;101;343;69230;1270.7030
K;000050519;100;322;1919;479.6200
K;000053229;99;325;25916;1089.5758
K;000049039;99;323;6253;786.3030
K;000045238;101;320;2635;599.0693
K;000053516;100;320;50881;2112.2300
K;000047547;99;325;56984;1657.7677
K;000044138;100;318;5551;537.5600
K;000047775;99;320;206104;4588.6364
K;000047779;99;320;3223;637.4444
K;000053812;100;317;3478;627.3400
K;000053807;100;315;2783;512.5800
K;000054214;101;319;5047;647.2079
K;000048016;100;328;57243;1676.1500
K;000040392;99;322;3106;722.8485
K;000028241;99;380;2426;558.0909
K;000042667;101;321;4401;621.0000
K;000038752;99;336;57148;2766.4444
K;000033344;99;334;11668;961.6061
K;000036411;100;332;57811;1706.0700
K;000033759;98;339;57868;2406.8061
K;000028961;103;384;40026;1820.3495
K;000042654;100;325;56926;1600.9900
K;000032060;100;303;59590;2737.9900
K;000031083;100;377;26183;1338.8500
K;000041059;98;328;1282;464.8469
K;000031088;100;373;220103;6413.2100
K;000037225;100;337;57909;1725.3500
K;000034448;100;351;57026;1695.2600
K;000041307;100;352;2346;524.2700
K;000039486;100;337;3119;641.8100
K;000028966;99;395;56435;1817.7778
K;000043752;99;329;61063;1899.8788
K;000043952;99;323;322334;10890.8586
K;000032047;98;327;57654;1818.0918
K;000031103;100;373;198391;4580.7800
K;000034880;100;332;28341;1145.8300
K;000039474;100;329;57059;1770.8000
K;000035128;100;332;9677;923.9700
