TEIL;FA;COUNT;MIN;MAX;AVG
E;006980;100;320.0;1779.0;450.14
E;009690;100;304.0;1925.0;444.32
E;007419;100;312.0;3031.0;533.16
E;007336;99;313.0;2845.0;572.63
E;006554;100;275.0;2485.0;531.26
E;007339;100;315.0;3021.0;505.84
E;007836;100;324.0;1966.0;562.96
E;008256;100;303.0;2608.0;465.98
E;008657;100;320.0;2549.0;525.28
E;008107;100;314.0;2847.0;463.7
E;007042;101;312.0;3077.0;457.85
E;007414;101;312.0;2492.0;497.83
E;006098;100;319.0;2701.0;496.24
E;007770;101;291.0;3548.0;526.01
E;007582;101;328.0;1014.0;473.09
E;006847;100;337.0;2202.0;533.57
E;006393;100;281.0;2037.0;420.74
E;007671;100;325.0;3435.0;586.22
E;008930;100;318.0;2405.0;442.98
E;006017;100;363.0;1898.0;499.89
E;006244;100;343.0;2858.0;513.78
E;008026;100;298.0;2829.0;446.09
E;006313;100;332.0;2843.0;686.47
E;009695;101;307.0;1519.0;483.01
E;006317;100;299.0;2875.0;473.24
E;006765;100;320.0;2985.0;702.47
E;006395;100;318.0;2356.0;549.67
E;009212;100;299.0;2542.0;478.73
E;005940;100;362.0;1915.0;551.75
E;007179;100;313.0;3106.0;477.63
E;008182;100;306.0;2786.0;465.7
E;006096;100;333.0;1694.0;479.91
E;005705;99;358.0;1628.0;528.35
E;009123;100;301.0;2912.0;404.08
E;008730;100;317.0;2697.0;469.79
E;005937;100;345.0;1757.0;515.43
E;009508;100;305.0;3162.0;534.53
E;009513;100;306.0;2295.0;487.79
E;009408;100;320.0;1581.0;450.46
E;008731;100;319.0;2555.0;434.09
E;009125;100;309.0;2017.0;411.67
E;008557;99;309.0;3392.0;572.54
E;007584;100;309.0;2048.0;442.81
E;007766;100;320.0;1162.0;480.44
E;008458;100;320.0;1497.0;408.61
E;006475;100;341.0;1659.0;488.74
E;008452;100;296.0;2880.0;543.14
E;007417;101;353.0;2092.0;509.48
E;009693;100;317.0;2333.0;468.24
E;007501;100;314.0;3339.0;404.88
E;007256;101;315.0;1771.0;481.48
E;007418;100;384.0;1933.0;525.08
E;008027;100;311.0;1971.0;486.5
E;009318;99;307.0;1082.0;408.79
E;009403;100;305.0;2704.0;496.4
E;007881;100;304.0;3176.0;413.36
E;009118;100;316.0;3339.0;687.54
E;008112;100;306.0;1930.0;423.88
E;006686;100;319.0;2308.0;534.36
E;008931;100;308.0;1391.0;455.87
E;006920;100;321.0;2088.0;456.01
E;005864;100;363.0;3509.0;578.07
E;009510;100;305.0;1830.0;447.21
E;007934;100;304.0;2265.0;481.21
E;006246;100;342.0;2519.0;497.11
E;008029;100;302.0;1646.0;412.0
E;006171;100;335.0;2710.0;500.41
E;005788;100;357.0;1447.0;484.79
E;007938;100;288.0;2114.0;492.89
E;009404;101;306.0;2401.0;449.08
E;008656;101;320.0;2126.0;426.49
E;008357;98;305.0;753.0;364.09
E;007835;100;348.0;3231.0;765.6
E;009605;100;309.0;1046.0;427.4
E;005861;100;347.0;2426.0;523.76
E;007416;100;373.0;2977.0;577.56
E;008924;100;302.0;3306.0;553.08
E;008459;100;320.0;2541.0;459.24
E;005936;99;352.0;2627.0;638.06
E;008025;101;305.0;2123.0;489.81
E;007769;100;325.0;2855.0;514.15
E;009037;100;303.0;846.0;379.03
E;008359;99;305.0;1079.0;384.02
E;008456;100;316.0;2357.0;497.27
E;006922;100;312.0;1511.0;421.59
E;007674;100;307.0;2863.0;514.85
E;008454;100;310.0;1413.0;426.94
E;007939;100;322.0;838.0;405.26
E;007495;100;290.0;2648.0;443.92
E;007254;100;330.0;2694.0;516.76
E;009506;100;305.0;1775.0;505.23
E;009405;99;306.0;1530.0;412.04
E;008178;100;304.0;2486.0;494.01
E;006769;100;321.0;2278.0;655.64
E;006560;100;315.0;1482.0;422.61
E;007334;100;318.0;1962.0;499.5
E;006396;100;340.0;2700.0;505.41
E;006981;100;319.0;2697.0;489.13
E;008734;101;314.0;1887.0;451.2
E;006175;100;342.0;2684.0;512.72
E;008030;98;300.0;1528.0;477.83
E;009509;100;307.0;825.0;375.72
E;009406;100;307.0;721.0;368.78
E;008183;100;306.0;3418.0;466.57
E;008257;100;314.0;1417.0;399.48
E;007937;100;312.0;1369.0;401.27
E;009312;100;308.0;1784.0;399.11
E;009218;100;301.0;1390.0;377.32
E;008111;100;284.0;2625.0;522.36
E;007581;100;342.0;3079.0;581.21
E;005938;100;347.0;2572.0;550.25
E;008258;100;301.0;2760.0;504.81
E;006095;100;315.0;1814.0;469.77
E;007838;100;347.0;1872.0;552.58
E;009034;100;310.0;2145.0;502.27
E;008457;100;309.0;2481.0;491.69
E;006316;100;308.0;1576.0;444.63
E;006241;100;338.0;2153.0;604.02
E;008180;100;305.0;2493.0;538.96
E;009694;100;308.0;2753.0;397.15
E;008254;100;310.0;1571.0;394.11
E;005939;100;364.0;2767.0;581.12
E;007176;100;310.0;3200.0;467.35
E;006477;100;297.0;2635.0;551.06
E;006982;100;322.0;2476.0;481.47
E;009213;100;299.0;1766.0;424.18
E;007178;98;313.0;3118.0;525.03
E;007257;100;313.0;2410.0;441.34
E;007768;100;316.0;2607.0;472.68
E;007114;100;347.0;3203.0;629.27
E;006242;100;337.0;3315.0;609.87
E;007045;100;355.0;2146.0;498.44
E;007765;100;314.0;2646.0;532.24
E;005865;100;344.0;1325.0;556.28
E;009410;100;310.0;3036.0;440.46
E;009315;100;313.0;1839.0;433.95
E;009215;100;312.0;2484.0;427.67
E;008826;101;314.0;2668.0;435.43
E;006553;100;314.0;2008.0;445.93
E;006245;100;342.0;3254.0;503.08
E;006093;101;336.0;2386.0;535.05
E;006314;100;331.0;3309.0;508.12
E;008728;100;318.0;718.0;388.81
E;006985;100;328.0;2712.0;587.08
E;008179;101;313.0;1377.0;392.1
E;007675;100;309.0;2030.0;444.73
E;008355;98;313.0;507.0;350.31
E;008353;99;324.0;1055.0;387.77
E;007421;100;315.0;1074.0;411.15
E;009316;100;305.0;3053.0;453.7
E;008736;99;315.0;2303.0;494.19
E;007498;100;324.0;2706.0;448.2
E;007935;100;305.0;2871.0;488.11
E;006556;100;283.0;3277.0;523.45
E;006476;100;334.0;1835.0;517.44
E;006853;100;317.0;2826.0;480.94
E;005711;100;362.0;1998.0;524.14
E;005707;100;361.0;2239.0;624.1
E;008729;100;317.0;1700.0;416.69
E;007673;100;304.0;1833.0;487.14
E;006020;100;334.0;3153.0;516.24
E;006478;100;312.0;2264.0;494.51
E;008926;100;319.0;1926.0;451.0
E;008460;100;307.0;2861.0;437.26
E;008255;100;271.0;2363.0;453.91
E;007586;99;322.0;2451.0;621.04
E;005786;100;357.0;2622.0;535.71
E;006768;100;335.0;2792.0;509.9
E;009319;100;308.0;843.0;376.76
E;005790;100;346.0;3027.0;692.82
E;009512;98;306.0;2801.0;509.57
E;008351;97;319.0;1261.0;434.34
B;009046;100;285.0;3054.0;489.25
B;007884;100;295.0;2971.0;497.66
B;009418;100;306.0;3560.0;598.4
B;008745;100;287.0;1953.0;424.53
B;008365;100;290.0;2243.0;427.92
B;006624;100;313.0;3232.0;703.3
B;007774;103;285.0;2840.0;493.84
B;007940;100;288.0;1249.0;387.77
B;006401;99;292.0;2566.0;501.09
B;009322;100;305.0;3309.0;548.16
B;009043;100;291.0;2857.0;489.91
B;006026;100;330.0;3577.0;620.18
B;007424;100;287.0;2755.0;434.24
B;005798;100;339.0;2543.0;552.43
B;006248;100;326.0;1632.0;547.89
B;006860;100;289.0;2336.0;472.01
B;008935;102;290.0;3196.0;488.17
B;007182;100;293.0;2826.0;604.5
B;005715;100;323.0;2752.0;561.71
B;009518;100;285.0;1127.0;371.34
B;008737;100;305.0;2542.0;487.44
B;006249;100;310.0;2787.0;664.35
B;006862;98;280.0;3175.0;577.62
B;007049;100;284.0;3502.0;566.14
B;006693;100;291.0;1656.0;482.87
B;007840;100;281.0;2924.0;489.78
B;008121;100;292.0;1870.0;393.61
B;007342;99;291.0;1324.0;410.79
B;006692;100;287.0;3345.0;472.35
B;006106;100;336.0;3041.0;605.61
B;006029;101;335.0;2281.0;528.56
B;007346;100;292.0;3576.0;751.47
B;006321;100;297.0;2670.0;700.56
B;007594;100;303.0;2700.0;441.22
B;009412;100;292.0;1520.0;510.57
B;007944;100;296.0;3250.0;476.59
B;008744;100;287.0;2879.0;400.91
B;005712;88;346.0;2763.0;636.53
B;006325;100;275.0;3439.0;704.13
B;007590;99;298.0;3133.0;646.08
B;006324;100;289.0;3257.0;514.72
B;008035;99;291.0;2566.0;574.96
B;006564;100;278.0;2734.0;661.48
B;005714;100;324.0;3117.0;639.76
B;006652;103;298.0;2647.0;540.24
B;008941;100;284.0;2470.0;458.31
B;007592;100;282.0;3595.0;492.6
B;007184;100;288.0;3349.0;477.72
B;009700;100;273.0;1866.0;427.58
B;007593;100;303.0;3424.0;557.75
B;005797;100;340.0;1585.0;586.06
B;007266;100;290.0;2132.0;455.31
B;008573;100;292.0;2880.0;492.4
B;008740;100;285.0;3450.0;461.04
B;008361;100;290.0;3430.0;454.83
B;005870;100;334.0;2695.0;619.88
B;009320;100;294.0;2519.0;447.13
B;009323;100;296.0;3226.0;591.87
B;008462;101;292.0;2205.0;527.42
B;005794;100;328.0;1462.0;520.61
B;009223;100;297.0;2497.0;448.22
B;007775;98;295.0;2914.0;432.62
B;006929;100;277.0;2899.0;477.27
B;007683;100;286.0;2583.0;465.98
