-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A
FA: 006182          MIN: 0T:0h:15m:40s        MAX: 0T:0h:15m:40s        AVG: 0T:0h:15m:40s      Ausschussfaktor: 4.00 %
FA: 006183          MIN: 0T:0h:31m:35s        MAX: 0T:4h:12m:32s        AVG: 0T:2h:22m:3s      Ausschussfaktor: 3.96 %
FA: 006247          MIN: 0T:0h:13m:6s        MAX: 0T:0h:13m:6s        AVG: 0T:0h:13m:6s      Ausschussfaktor: 1.00 %
FA: 006248          MIN: 0T:0h:33m:42s        MAX: 0T:0h:52m:42s        AVG: 0T:0h:44m:38s      Ausschussfaktor: 6.00 %
FA: 006249          MIN: 0T:0h:13m:20s        MAX: 0T:1h:25m:3s        AVG: 0T:0h:32m:53s      Ausschussfaktor: 8.00 %
FA: 006250          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006251          MIN: 0T:0h:11m:36s        MAX: 0T:1h:0m:30s        AVG: 0T:0h:28m:51s      Ausschussfaktor: 8.91 %
FA: 006252          MIN: 0T:0h:8m:57s        MAX: 0T:1h:21m:56s        AVG: 0T:0h:28m:48s      Ausschussfaktor: 7.00 %
FA: 006320          MIN: 0T:0h:21m:21s        MAX: 0T:0h:27m:25s        AVG: 0T:0h:24m:47s      Ausschussfaktor: 6.00 %
FA: 006321          MIN: 0T:1h:8m:43s        MAX: 0T:1h:36m:14s        AVG: 0T:1h:22m:28s      Ausschussfaktor: 3.00 %
FA: 006322          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006323          MIN: 0T:0h:35m:23s        MAX: 0T:1h:4m:23s        AVG: 0T:0h:49m:53s      Ausschussfaktor: 3.00 %
FA: 006324          MIN: 0T:0h:15m:2s        MAX: 0T:1h:0m:25s        AVG: 0T:0h:41m:49s      Ausschussfaktor: 4.00 %
FA: 006325          MIN: 0T:1h:26m:23s        MAX: 0T:3h:14m:39s        AVG: 0T:2h:23m:9s      Ausschussfaktor: 4.00 %
FA: 006326          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 2.00 %
FA: 006398          MIN: 0T:0h:12m:43s        MAX: 0T:1h:40m:9s        AVG: 0T:1h:2m:8s      Ausschussfaktor: 2.97 %
FA: 006399          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006400          MIN: 0T:0h:7m:40s        MAX: 0T:0h:7m:40s        AVG: 0T:0h:7m:40s      Ausschussfaktor: 1.96 %
FA: 006401          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006402          MIN: 0T:0h:17m:47s        MAX: 0T:0h:18m:15s        AVG: 0T:0h:18m:1s      Ausschussfaktor: 2.00 %
FA: 006403          MIN: 0T:0h:50m:21s        MAX: 0T:0h:50m:21s        AVG: 0T:0h:50m:21s      Ausschussfaktor: 4.95 %
FA: 006404          MIN: 0T:0h:9m:37s        MAX: 0T:0h:28m:27s        AVG: 0T:0h:19m:2s      Ausschussfaktor: 2.00 %
FA: 006451          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006452          MIN: 0T:0h:9m:26s        MAX: 0T:0h:26m:33s        AVG: 0T:0h:14m:26s      Ausschussfaktor: 5.05 %
FA: 006482          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006483          MIN: 0T:0h:19m:41s        MAX: 0T:0h:51m:58s        AVG: 0T:0h:35m:49s      Ausschussfaktor: 2.00 %
FA: 006484          MIN: 0T:0h:34m:24s        MAX: 0T:0h:34m:24s        AVG: 0T:0h:34m:24s      Ausschussfaktor: 0.99 %
FA: 006485          MIN: 0T:0h:4m:27s        MAX: 0T:1h:3m:57s        AVG: 0T:0h:31m:7s      Ausschussfaktor: 3.00 %
FA: 006486          MIN: 0T:0h:23m:31s        MAX: 0T:0h:23m:31s        AVG: 0T:0h:23m:31s      Ausschussfaktor: 1.01 %
FA: 006487          MIN: 0T:0h:8m:28s        MAX: 0T:0h:8m:28s        AVG: 0T:0h:8m:28s      Ausschussfaktor: 1.00 %
FA: 006561          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 0.00 %
FA: 006562          MIN: 0T:0h:14m:9s        MAX: 0T:0h:47m:32s        AVG: 0T:0h:32m:17s      Ausschussfaktor: 2.51 %
FA: 006564          MIN: 0T:0h:9m:58s        MAX: 0T:2h:24m:51s        AVG: 0T:0h:53m:31s      Ausschussfaktor: 5.00 %
FA: 006565          MIN: 0T:0h:21m:11s        MAX: 0T:0h:21m:11s        AVG: 0T:0h:21m:11s      Ausschussfaktor: 4.04 %
FA: 006566          MIN: 0T:0h:0m:0s        MAX: 0T:0h:0m:0s        AVG: 0T:0h:0m:0s      Ausschussfaktor: 1.00 %
FA: 006567          MIN: 0T:0h:6m:37s        MAX: 0T:0h:6m:37s        AVG: 0T:0h:6m:37s      Ausschussfaktor: 2.00 %
