-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 005868     Anzahl gefertigt: 100        MIN: 0T:0h:5m:27s        MAX: 0T:0h:52m:25s        AVG: 0T:0h:9m:38s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 005869     Anzahl gefertigt: 101        MIN: 0T:0h:5m:33s        MAX: 0T:0h:40m:37s        AVG: 0T:0h:10m:31s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 1.98 %
FA: 005870     Anzahl gefertigt: 100        MIN: 0T:0h:5m:34s        MAX: 0T:0h:44m:55s        AVG: 0T:0h:10m:19s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 005871     Anzahl gefertigt: 100        MIN: 0T:0h:5m:52s        MAX: 0T:0h:36m:49s        AVG: 0T:0h:8m:50s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005872     Anzahl gefertigt: 100        MIN: 0T:0h:5m:47s        MAX: 0T:0h:25m:6s        AVG: 0T:0h:8m:19s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 005873     Anzahl gefertigt: 100        MIN: 0T:0h:5m:40s        MAX: 0T:0h:44m:24s        AVG: 0T:0h:9m:15s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.00 %
FA: 005945     Anzahl gefertigt: 100        MIN: 0T:0h:5m:34s        MAX: 0T:0h:44m:39s        AVG: 0T:0h:8m:57s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 005946     Anzahl gefertigt: 101        MIN: 0T:0h:5m:35s        MAX: 0T:0h:57m:50s        AVG: 0T:0h:8m:28s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.97 %
FA: 005947     Anzahl gefertigt: 100        MIN: 0T:0h:5m:32s        MAX: 0T:0h:34m:56s        AVG: 0T:0h:9m:10s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.00 %
FA: 005948     Anzahl gefertigt: 100        MIN: 0T:0h:5m:36s        MAX: 0T:0h:38m:38s        AVG: 0T:0h:9m:40s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 4.00 %
FA: 005949     Anzahl gefertigt: 100        MIN: 0T:0h:5m:37s        MAX: 0T:0h:50m:40s        AVG: 0T:0h:8m:59s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 005950     Anzahl gefertigt: 100        MIN: 0T:0h:5m:38s        MAX: 0T:0h:18m:10s        AVG: 0T:0h:7m:45s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005951     Anzahl gefertigt: 100        MIN: 0T:0h:5m:37s        MAX: 0T:0h:29m:3s        AVG: 0T:0h:8m:8s     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005952     Anzahl gefertigt: 100        MIN: 0T:0h:5m:30s        MAX: 0T:0h:42m:15s        AVG: 0T:0h:9m:42s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 3.00 %
FA: 006022     Anzahl gefertigt: 100        MIN: 0T:0h:5m:45s        MAX: 0T:0h:46m:0s        AVG: 0T:0h:10m:43s     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 2.00 %
FA: 006023     Anzahl gefertigt: 100        MIN: 0T:0h:5m:23s        MAX: 0T:0h:50m:52s        AVG: 0T:0h:10m:33s     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 4.00 %
