Hinweise:

Anzahl gefertigt = Anzahl der Stücke (SNR), welche erfolgreich durch die Maschine (Output vorhanden) gelaufen sind - doppelte SNR im zählen nur einfach
MIN - minimale Fertigungszeit (Input DS - letzer Output zu Input DS)
MAX - maximale Fertigungszeit (Input DS - letzer Output zu Input DS)
AVG - durchschnittliche Fertigungszeit (alle Fertigungszeiten addiert, dividiert durch Anzahl der verwendeten Input DS)
MIN_FAIL - minimaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
MAX_FAIL - maximaler Ausschuss (1 entspricht also 2 Input DS einer SNR)
AVG_FAIL - durchschnittlicher Ausschuss (Anzahl aller Ausschüsse addiert, dividiert durch Anzahl gefertigt) - in den Daten habe ich vergessen mit 100 zu multiplizieren oder % weg

Es treten noch sehr selten negative Werte im MIN auf. Habe den Fehler aber noch nicht gefunden. 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------

TEIL: A       Gesamtanzahl gefertigt: 2235

FA: 005869     Anzahl gefertigt: 101        MIN: 5.55 min        MAX: 40.62 min        AVG: 12.80 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 005870     Anzahl gefertigt: 100        MIN: 5.57 min        MAX: 44.92 min        AVG: 15.11 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 005871     Anzahl gefertigt: 100        MIN: 5.87 min        MAX: 36.82 min        AVG: 9.16 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005872     Anzahl gefertigt: 100        MIN: 5.78 min        MAX: 25.10 min        AVG: 8.32 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 005873     Anzahl gefertigt: 100        MIN: 5.67 min        MAX: 44.40 min        AVG: 12.27 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 005945     Anzahl gefertigt: 100        MIN: 5.57 min        MAX: 44.65 min        AVG: 11.11 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 005946     Anzahl gefertigt: 101        MIN: 5.58 min        MAX: 57.83 min        AVG: 9.03 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 005947     Anzahl gefertigt: 100        MIN: 5.53 min        MAX: 34.93 min        AVG: 13.00 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 005948     Anzahl gefertigt: 100        MIN: 5.60 min        MAX: 38.63 min        AVG: 13.46 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 005949     Anzahl gefertigt: 100        MIN: 5.62 min        MAX: 50.67 min        AVG: 12.96 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 005950     Anzahl gefertigt: 100        MIN: 5.63 min        MAX: 18.17 min        AVG: 8.75 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005951     Anzahl gefertigt: 100        MIN: 5.62 min        MAX: 29.05 min        AVG: 9.58 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 005952     Anzahl gefertigt: 100        MIN: 5.50 min        MAX: 42.25 min        AVG: 11.37 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006022     Anzahl gefertigt: 100        MIN: 5.75 min        MAX: 46.00 min        AVG: 13.54 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006023     Anzahl gefertigt: 100        MIN: 5.38 min        MAX: 50.87 min        AVG: 17.83 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.04 %
FA: 006024     Anzahl gefertigt: 100        MIN: 5.43 min        MAX: 55.85 min        AVG: 13.06 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006025     Anzahl gefertigt: 98        MIN: 4.37 min        MAX: 42.68 min        AVG: 18.14 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 006026     Anzahl gefertigt: 100        MIN: 5.50 min        MAX: 59.62 min        AVG: 16.77 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.06 %
FA: 006027     Anzahl gefertigt: 100        MIN: 5.55 min        MAX: 51.43 min        AVG: 10.89 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006028     Anzahl gefertigt: 100        MIN: 5.53 min        MAX: 42.43 min        AVG: 16.36 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006029     Anzahl gefertigt: 101        MIN: 5.58 min        MAX: 38.02 min        AVG: 11.21 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006100     Anzahl gefertigt: 100        MIN: 5.50 min        MAX: 42.38 min        AVG: 16.90 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.08 %
FA: 006101     Anzahl gefertigt: 100        MIN: 5.47 min        MAX: 50.68 min        AVG: 12.64 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006102     Anzahl gefertigt: 100        MIN: 5.48 min        MAX: 47.83 min        AVG: 13.61 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.06 %
FA: 006103     Anzahl gefertigt: 100        MIN: 5.47 min        MAX: 47.48 min        AVG: 14.76 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006104     Anzahl gefertigt: 100        MIN: 5.47 min        MAX: 56.98 min        AVG: 11.85 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.04 %
FA: 006105     Anzahl gefertigt: 100        MIN: 5.47 min        MAX: 16.27 min        AVG: 7.14 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006106     Anzahl gefertigt: 100        MIN: 5.60 min        MAX: 50.68 min        AVG: 17.96 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 006177     Anzahl gefertigt: 100        MIN: 5.45 min        MAX: 25.70 min        AVG: 11.90 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006178     Anzahl gefertigt: 101        MIN: 5.43 min        MAX: 21.50 min        AVG: 8.57 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006179     Anzahl gefertigt: 100        MIN: 5.45 min        MAX: 55.45 min        AVG: 9.57 min     MIN_FAIL: 0       MAX_FAIL: 0        AVG_FAIL: 0.00 %
FA: 006180     Anzahl gefertigt: 100        MIN: 5.48 min        MAX: 54.97 min        AVG: 11.50 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006181     Anzahl gefertigt: 100        MIN: 5.55 min        MAX: 26.73 min        AVG: 8.75 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006182     Anzahl gefertigt: 100        MIN: 5.53 min        MAX: 58.18 min        AVG: 17.13 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.04 %
FA: 006183     Anzahl gefertigt: 101        MIN: 5.67 min        MAX: 53.30 min        AVG: 10.41 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 006247     Anzahl gefertigt: 100        MIN: 5.68 min        MAX: 59.15 min        AVG: 17.86 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006248     Anzahl gefertigt: 100        MIN: 5.43 min        MAX: 27.20 min        AVG: 10.29 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.06 %
FA: 006249     Anzahl gefertigt: 100        MIN: 5.17 min        MAX: 46.45 min        AVG: 12.97 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.08 %
FA: 006250     Anzahl gefertigt: 99        MIN: 4.03 min        MAX: 48.17 min        AVG: 8.03 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006251     Anzahl gefertigt: 101        MIN: 5.22 min        MAX: 39.32 min        AVG: 9.88 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.09 %
FA: 006252     Anzahl gefertigt: 100        MIN: 5.27 min        MAX: 45.65 min        AVG: 12.52 min     MIN_FAIL: 1       MAX_FAIL: 2        AVG_FAIL: 0.07 %
FA: 006320     Anzahl gefertigt: 100        MIN: 5.17 min        MAX: 44.27 min        AVG: 13.25 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.06 %
FA: 006321     Anzahl gefertigt: 100        MIN: 4.95 min        MAX: 44.50 min        AVG: 15.02 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006322     Anzahl gefertigt: 101        MIN: 4.95 min        MAX: 59.43 min        AVG: 12.18 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006323     Anzahl gefertigt: 100        MIN: 4.75 min        MAX: 47.72 min        AVG: 9.75 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006324     Anzahl gefertigt: 100        MIN: 4.82 min        MAX: 54.28 min        AVG: 8.84 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 006325     Anzahl gefertigt: 100        MIN: 4.58 min        MAX: 59.75 min        AVG: 16.40 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.04 %
FA: 006326     Anzahl gefertigt: 100        MIN: 4.75 min        MAX: 38.28 min        AVG: 9.96 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006398     Anzahl gefertigt: 101        MIN: 4.85 min        MAX: 41.67 min        AVG: 9.46 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.03 %
FA: 006399     Anzahl gefertigt: 100        MIN: 4.85 min        MAX: 47.95 min        AVG: 12.34 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006400     Anzahl gefertigt: 102        MIN: 4.67 min        MAX: 26.52 min        AVG: 8.21 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006401     Anzahl gefertigt: 99        MIN: 4.87 min        MAX: 42.77 min        AVG: 11.41 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.01 %
FA: 006402     Anzahl gefertigt: 100        MIN: 4.87 min        MAX: 48.02 min        AVG: 8.22 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.02 %
FA: 006403     Anzahl gefertigt: 101        MIN: 4.90 min        MAX: 55.28 min        AVG: 10.85 min     MIN_FAIL: 1       MAX_FAIL: 1        AVG_FAIL: 0.05 %
