TEIL;FA;COUNT;MIN;MAX;AVG
B;008186              ;100;287.00;1912.00;495.71
B;008187              ;100;280.00;1614.00;428.06
B;008188              ;100;278.00;1272.00;434.31
B;008189              ;100;290.00;1180.00;365.75
B;008190              ;100;290.00;1316.00;384.88
B;008260              ;100;290.00;1319.00;393.22
B;008261              ;100;290.00;1931.00;483.61
B;008262              ;99;290.00;2523.00;423.61
B;008263              ;100;291.00;2078.00;484.81
B;008264              ;100;290.00;2438.00;456.18
B;008265              ;100;292.00;1239.00;404.90
B;008266              ;100;287.00;2382.00;458.63
B;008267              ;99;290.00;1121.00;382.39
B;008268              ;100;289.00;1423.00;390.63
B;008269              ;100;289.00;913.00;370.50
B;008360              ;57;290.00;1670.00;456.38
B;008361              ;100;290.00;3430.00;454.83
B;008362              ;98;293.00;1430.00;387.57
B;008363              ;96;291.00;2681.00;411.07
B;008364              ;99;291.00;2004.00;460.27
B;008365              ;100;290.00;2243.00;427.92
B;008366              ;100;297.00;1855.00;575.10
B;008367              ;100;293.00;2641.00;466.97
B;008461              ;100;292.00;3301.00;558.26
B;008462              ;101;292.00;2205.00;527.42
B;008463              ;100;284.00;2711.00;584.98
B;008464              ;100;284.00;2724.00;534.91
B;008465              ;100;284.00;3096.00;467.35
B;008466              ;100;288.00;1569.00;353.12
B;008467              ;100;287.00;2066.00;390.54
B;008468              ;100;288.00;847.00;361.05
B;008469              ;101;287.00;3268.00;574.46
B;008470              ;100;297.00;1160.00;389.62
B;008471              ;100;289.00;1183.00;382.80
B;008567              ;99;209.00;1616.00;393.49
B;008568              ;101;286.00;3111.00;547.20
B;008569              ;99;286.00;2263.00;422.30
B;008570              ;99;223.00;2587.00;437.50
B;008571              ;100;287.00;3199.00;448.19
B;008572              ;100;294.00;3013.00;460.41
B;008573              ;100;292.00;2880.00;492.40
B;008574              ;100;293.00;3126.00;533.61
B;008575              ;100;295.00;1945.00;451.12
B;008658              ;100;304.00;2892.00;442.18
B;008659              ;100;300.00;2900.00;499.77
B;008660              ;100;303.00;2345.00;581.58
B;008661              ;99;227.00;2618.00;478.23
B;008662              ;100;304.00;2163.00;492.66
B;008663              ;99;304.00;2718.00;520.11
B;008737              ;100;305.00;2542.00;487.44
B;008738              ;100;305.00;1455.00;408.62
B;008739              ;100;286.00;1866.00;459.66
B;008740              ;100;285.00;3450.00;461.04
B;008741              ;100;286.00;2731.00;530.18
B;008742              ;100;290.00;1051.00;397.40
B;008743              ;100;288.00;1666.00;410.46
B;008744              ;100;287.00;2879.00;400.91
B;008745              ;100;287.00;1953.00;424.53
B;008835              ;100;292.00;2235.00;474.44
B;008836              ;100;291.00;2733.00;488.24
B;008837              ;100;292.00;2964.00;452.49
B;008838              ;100;299.00;3163.00;428.25
B;008839              ;100;279.00;2563.00;551.20
B;008840              ;100;288.00;3128.00;549.70
B;008841              ;100;274.00;3210.00;509.85
B;008842              ;100;287.00;2746.00;415.50
B;008843              ;101;286.00;1828.00;458.41
B;008844              ;100;299.00;2965.00;436.75
B;008933              ;100;291.00;2757.00;467.13
B;008934              ;101;290.00;2921.00;496.54
B;008935              ;102;290.00;3196.00;488.17
B;008936              ;101;283.00;2127.00;530.72
B;008937              ;100;284.00;1923.00;412.51
B;008938              ;100;283.00;2067.00;401.34
B;008939              ;101;283.00;2665.00;433.22
B;008940              ;100;284.00;1733.00;364.20
B;008941              ;100;284.00;2470.00;458.31
B;008999              ;100;283.00;2587.00;503.34
B;009000              ;100;287.00;3366.00;414.76
B;009001              ;101;287.00;2157.00;446.86
B;009002              ;100;288.00;2659.00;428.72
B;009003              ;100;286.00;3229.00;528.18
B;009042              ;100;290.00;2501.00;489.66
B;009043              ;100;291.00;2857.00;489.91
B;009044              ;100;291.00;2926.00;542.04
B;009045              ;100;290.00;2086.00;449.09
B;009046              ;100;285.00;3054.00;489.25
B;009047              ;100;295.00;2766.00;498.63
B;009048              ;100;294.00;3550.00;416.80
B;009049              ;100;293.00;3179.00;596.44
B;009050              ;100;300.00;3591.00;639.74
B;009126              ;101;285.00;2644.00;494.49
B;009127              ;100;279.00;2702.00;610.93
B;009128              ;100;291.00;3094.00;515.79
B;009129              ;101;290.00;3277.00;465.66
B;009220              ;100;299.00;2279.00;590.43
B;009221              ;102;294.00;1547.00;441.92
